curve_type,class_id,class_name,fpr,tpr,threshold
class,0,class_0,0.0,0.0,inf
class,0,class_0,0.016666666666666666,0.0,0.26404145
class,0,class_0,0.18333333333333332,0.0,0.25857726
class,0,class_0,0.18333333333333332,0.1,0.25817987
class,0,class_0,0.26666666666666666,0.1,0.257725
class,0,class_0,0.26666666666666666,0.15,0.25768986
class,0,class_0,0.36666666666666664,0.15,0.25708306
class,0,class_0,0.36666666666666664,0.25,0.25689182
class,0,class_0,0.4,0.25,0.25680763
class,0,class_0,0.4,0.3,0.25677523
class,0,class_0,0.43333333333333335,0.3,0.25653416
class,0,class_0,0.43333333333333335,0.35,0.25645018
class,0,class_0,0.4666666666666667,0.35,0.2563365
class,0,class_0,0.4666666666666667,0.45,0.25605497
class,0,class_0,0.6,0.45,0.25518623
class,0,class_0,0.6,0.5,0.25489137
class,0,class_0,0.6166666666666667,0.5,0.25480703
class,0,class_0,0.6166666666666667,0.55,0.25480613
class,0,class_0,0.6333333333333333,0.55,0.25474125
class,0,class_0,0.6333333333333333,0.7,0.25469393
class,0,class_0,0.7833333333333333,0.7,0.25344416
class,0,class_0,0.7833333333333333,0.75,0.25340614
class,0,class_0,0.9333333333333333,0.75,0.2523101
class,0,class_0,0.9333333333333333,0.8,0.25226673
class,0,class_0,0.95,0.8,0.25220788
class,0,class_0,0.95,0.95,0.25139022
class,0,class_0,1.0,0.95,0.25055984
class,0,class_0,1.0,1.0,0.2502991
class,1,class_1,0.0,0.0,inf
class,1,class_1,0.0,0.047619047619047616,0.23071723
class,1,class_1,0.06779661016949153,0.047619047619047616,0.22848593
class,1,class_1,0.06779661016949153,0.14285714285714285,0.22819881
class,1,class_1,0.15254237288135594,0.14285714285714285,0.22687624
class,1,class_1,0.15254237288135594,0.19047619047619047,0.22684234
class,1,class_1,0.1864406779661017,0.19047619047619047,0.22681782
class,1,class_1,0.1864406779661017,0.23809523809523808,0.22665676
class,1,class_1,0.23728813559322035,0.23809523809523808,0.22647838
class,1,class_1,0.23728813559322035,0.2857142857142857,0.22634329
class,1,class_1,0.288135593220339,0.2857142857142857,0.22579205
class,1,class_1,0.288135593220339,0.38095238095238093,0.22544655
class,1,class_1,0.3559322033898305,0.38095238095238093,0.22523049
class,1,class_1,0.3559322033898305,0.47619047619047616,0.22518565
class,1,class_1,0.4067796610169492,0.47619047619047616,0.2249667
class,1,class_1,0.4067796610169492,0.5238095238095238,0.22496668
class,1,class_1,0.423728813559322,0.5238095238095238,0.22494818
class,1,class_1,0.423728813559322,0.5714285714285714,0.22494191
class,1,class_1,0.559322033898305,0.5714285714285714,0.22444616
class,1,class_1,0.559322033898305,0.6666666666666666,0.22413878
class,1,class_1,0.6610169491525424,0.6666666666666666,0.22383747
class,1,class_1,0.6610169491525424,0.7142857142857143,0.22376303
class,1,class_1,0.6949152542372882,0.7142857142857143,0.22368968
class,1,class_1,0.6949152542372882,0.7619047619047619,0.22367424
class,1,class_1,0.847457627118644,0.7619047619047619,0.22270037
class,1,class_1,0.847457627118644,0.8095238095238095,0.22248118
class,1,class_1,0.864406779661017,0.8095238095238095,0.22242302
class,1,class_1,0.864406779661017,0.8571428571428571,0.22242275
class,1,class_1,0.9152542372881356,0.8571428571428571,0.22189993
class,1,class_1,0.9152542372881356,0.9047619047619048,0.22163352
class,1,class_1,0.9661016949152542,0.9047619047619048,0.22144803
class,1,class_1,0.9661016949152542,0.9523809523809523,0.22128788
class,1,class_1,1.0,0.9523809523809523,0.21974494
class,1,class_1,1.0,1.0,0.2195888
class,2,class_2,0.0,0.0,inf
class,2,class_2,0.01694915254237288,0.0,0.30141503
class,2,class_2,0.0847457627118644,0.0,0.29865563
class,2,class_2,0.0847457627118644,0.09523809523809523,0.29760474
class,2,class_2,0.1016949152542373,0.09523809523809523,0.2975424
class,2,class_2,0.1016949152542373,0.14285714285714285,0.29745343
class,2,class_2,0.1694915254237288,0.14285714285714285,0.29710814
class,2,class_2,0.1694915254237288,0.19047619047619047,0.29701063
class,2,class_2,0.1864406779661017,0.19047619047619047,0.29677513
class,2,class_2,0.1864406779661017,0.2857142857142857,0.29645225
class,2,class_2,0.22033898305084745,0.2857142857142857,0.2960237
class,2,class_2,0.22033898305084745,0.38095238095238093,0.29577532
class,2,class_2,0.288135593220339,0.38095238095238093,0.29550096
class,2,class_2,0.288135593220339,0.47619047619047616,0.29544446
class,2,class_2,0.3220338983050847,0.47619047619047616,0.29537553
class,2,class_2,0.3220338983050847,0.5238095238095238,0.29532436
class,2,class_2,0.423728813559322,0.5238095238095238,0.2946181
class,2,class_2,0.423728813559322,0.5714285714285714,0.29460952
class,2,class_2,0.4576271186440678,0.5714285714285714,0.29442275
class,2,class_2,0.4576271186440678,0.6190476190476191,0.29425332
class,2,class_2,0.6271186440677966,0.6190476190476191,0.29352143
class,2,class_2,0.6271186440677966,0.7142857142857143,0.29339442
class,2,class_2,0.6949152542372882,0.7142857142857143,0.29272515
class,2,class_2,0.6949152542372882,0.7619047619047619,0.29271984
class,2,class_2,0.7796610169491526,0.7619047619047619,0.29205146
class,2,class_2,0.7796610169491526,0.8095238095238095,0.29204822
class,2,class_2,0.8983050847457628,0.8095238095238095,0.29086658
class,2,class_2,0.8983050847457628,0.8571428571428571,0.29069042
class,2,class_2,0.9322033898305084,0.8571428571428571,0.29011476
class,2,class_2,0.9322033898305084,0.9523809523809523,0.2899969
class,2,class_2,0.9661016949152542,0.9523809523809523,0.2897331
class,2,class_2,0.9661016949152542,1.0,0.28952935
class,2,class_2,1.0,1.0,0.28697821
class,3,class_3,0.0,0.0,inf
class,3,class_3,0.016129032258064516,0.0,0.23199636
class,3,class_3,0.08064516129032258,0.0,0.22975715
class,3,class_3,0.08064516129032258,0.1111111111111111,0.22958079
class,3,class_3,0.22580645161290322,0.1111111111111111,0.22775269
class,3,class_3,0.22580645161290322,0.16666666666666666,0.2275124
class,3,class_3,0.27419354838709675,0.16666666666666666,0.22704467
class,3,class_3,0.27419354838709675,0.2222222222222222,0.2267759
class,3,class_3,0.2903225806451613,0.2222222222222222,0.2267755
class,3,class_3,0.2903225806451613,0.2777777777777778,0.22670485
class,3,class_3,0.3225806451612903,0.2777777777777778,0.22656655
class,3,class_3,0.3225806451612903,0.3333333333333333,0.22656585
class,3,class_3,0.41935483870967744,0.3333333333333333,0.22614525
class,3,class_3,0.41935483870967744,0.3888888888888889,0.22589368
class,3,class_3,0.46774193548387094,0.3888888888888889,0.22545555
class,3,class_3,0.46774193548387094,0.4444444444444444,0.22534855
class,3,class_3,0.5,0.4444444444444444,0.22503754
class,3,class_3,0.5,0.5,0.22491749
class,3,class_3,0.5161290322580645,0.5,0.22487974
class,3,class_3,0.5161290322580645,0.5555555555555556,0.22469471
class,3,class_3,0.5967741935483871,0.5555555555555556,0.22442804
class,3,class_3,0.5967741935483871,0.6111111111111112,0.2244031
class,3,class_3,0.6612903225806451,0.6111111111111112,0.22423607
class,3,class_3,0.6612903225806451,0.6666666666666666,0.2241217
class,3,class_3,0.7096774193548387,0.6666666666666666,0.22389139
class,3,class_3,0.7096774193548387,0.7222222222222222,0.22380516
class,3,class_3,0.7741935483870968,0.7222222222222222,0.22349524
class,3,class_3,0.7741935483870968,0.7777777777777778,0.22344898
class,3,class_3,0.7903225806451613,0.7777777777777778,0.22338201
class,3,class_3,0.7903225806451613,0.8333333333333334,0.22334939
class,3,class_3,0.9354838709677419,0.8333333333333334,0.222163
class,3,class_3,0.9354838709677419,0.9444444444444444,0.22185671
class,3,class_3,0.9516129032258065,0.9444444444444444,0.22121151
class,3,class_3,0.9516129032258065,1.0,0.22073498
class,3,class_3,1.0,1.0,0.21834895
micro,,,0.0,0.0,inf
micro,,,0.004166666666666667,0.0,0.30141503
micro,,,0.020833333333333332,0.0,0.29865563
micro,,,0.020833333333333332,0.025,0.29760474
micro,,,0.025,0.025,0.2975424
micro,,,0.025,0.0375,0.29745343
micro,,,0.041666666666666664,0.0375,0.29710814
micro,,,0.041666666666666664,0.05,0.29701063
micro,,,0.04583333333333333,0.05,0.29677513
micro,,,0.04583333333333333,0.075,0.29645225
micro,,,0.05416666666666667,0.075,0.2960237
micro,,,0.05416666666666667,0.1,0.29577532
micro,,,0.07083333333333333,0.1,0.29550096
micro,,,0.07083333333333333,0.125,0.29544446
micro,,,0.07916666666666666,0.125,0.29537553
micro,,,0.07916666666666666,0.1375,0.29532436
